0.2603
42 4201
587 233 220
1
1 92 0  96 0  30 1 113
(0,0,0) ; (96,92,30)
(96,0,0) ; (192,92,30)
(192,0,0) ; (288,92,30)
(288,0,0) ; (384,92,30)
(384,0,0) ; (480,92,30)
(480,0,0) ; (576,92,30)
(0,92,0) ; (96,184,30)
(96,92,0) ; (192,184,30)
(192,92,0) ; (288,184,30)
(288,92,0) ; (384,184,30)
(384,92,0) ; (480,184,30)
(480,92,0) ; (576,184,30)
(0,0,30) ; (96,92,60)
(96,0,30) ; (192,92,60)
(192,0,30) ; (288,92,60)
(288,0,30) ; (384,92,60)
(384,0,30) ; (480,92,60)
(480,0,30) ; (576,92,60)
(0,92,30) ; (96,184,60)
(96,92,30) ; (192,184,60)
(192,92,30) ; (288,184,60)
(288,92,30) ; (384,184,60)
(384,92,30) ; (480,184,60)
(480,92,30) ; (576,184,60)
(0,0,60) ; (96,92,90)
(96,0,60) ; (192,92,90)
(192,0,60) ; (288,92,90)
(288,0,60) ; (384,92,90)
(384,0,60) ; (480,92,90)
(480,0,60) ; (576,92,90)
(0,92,60) ; (96,184,90)
(96,92,60) ; (192,184,90)
(192,92,60) ; (288,184,90)
(288,92,60) ; (384,184,90)
(384,92,60) ; (480,184,90)
(480,92,60) ; (576,184,90)
(0,0,90) ; (96,92,120)
(96,0,90) ; (192,92,120)
(192,0,90) ; (288,92,120)
(288,0,90) ; (384,92,120)
(384,0,90) ; (480,92,120)
(480,0,90) ; (576,92,120)
(0,92,90) ; (96,184,120)
(96,92,90) ; (192,184,120)
(192,92,90) ; (288,184,120)
(288,92,90) ; (384,184,120)
(384,92,90) ; (480,184,120)
(480,92,90) ; (576,184,120)
(0,0,120) ; (96,92,150)
(96,0,120) ; (192,92,150)
(192,0,120) ; (288,92,150)
(288,0,120) ; (384,92,150)
(384,0,120) ; (480,92,150)
(480,0,120) ; (576,92,150)
(0,92,120) ; (96,184,150)
(96,92,120) ; (192,184,150)
(192,92,120) ; (288,184,150)
(288,92,120) ; (384,184,150)
(384,92,120) ; (480,184,150)
(480,92,120) ; (576,184,150)
(0,0,150) ; (96,92,180)
(96,0,150) ; (192,92,180)
(192,0,150) ; (288,92,180)
(288,0,150) ; (384,92,180)
(384,0,150) ; (480,92,180)
(480,0,150) ; (576,92,180)
(0,92,150) ; (96,184,180)
(96,92,150) ; (192,184,180)
(192,92,150) ; (288,184,180)
(288,92,150) ; (384,184,180)
(384,92,150) ; (480,184,180)
(480,92,150) ; (576,184,180)
(0,0,180) ; (96,92,210)
(96,0,180) ; (192,92,210)
(192,0,180) ; (288,92,210)
(288,0,180) ; (384,92,210)
(384,0,180) ; (480,92,210)
(480,0,180) ; (576,92,210)
(0,92,180) ; (96,184,210)
(96,92,180) ; (192,184,210)
(192,92,180) ; (288,184,210)
(288,92,180) ; (384,184,210)
(384,92,180) ; (480,184,210)
(480,92,180) ; (576,184,210)
