0.1277
93 9301
587 233 220
1
1 112 0  93 0  21 1 137
(0,0,0) ; (93,112,21)
(93,0,0) ; (186,112,21)
(186,0,0) ; (279,112,21)
(279,0,0) ; (372,112,21)
(372,0,0) ; (465,112,21)
(465,0,0) ; (558,112,21)
(0,112,0) ; (93,224,21)
(93,112,0) ; (186,224,21)
(186,112,0) ; (279,224,21)
(279,112,0) ; (372,224,21)
(372,112,0) ; (465,224,21)
(465,112,0) ; (558,224,21)
(0,0,21) ; (93,112,42)
(93,0,21) ; (186,112,42)
(186,0,21) ; (279,112,42)
(279,0,21) ; (372,112,42)
(372,0,21) ; (465,112,42)
(465,0,21) ; (558,112,42)
(0,112,21) ; (93,224,42)
(93,112,21) ; (186,224,42)
(186,112,21) ; (279,224,42)
(279,112,21) ; (372,224,42)
(372,112,21) ; (465,224,42)
(465,112,21) ; (558,224,42)
(0,0,42) ; (93,112,63)
(93,0,42) ; (186,112,63)
(186,0,42) ; (279,112,63)
(279,0,42) ; (372,112,63)
(372,0,42) ; (465,112,63)
(465,0,42) ; (558,112,63)
(0,112,42) ; (93,224,63)
(93,112,42) ; (186,224,63)
(186,112,42) ; (279,224,63)
(279,112,42) ; (372,224,63)
(372,112,42) ; (465,224,63)
(465,112,42) ; (558,224,63)
(0,0,63) ; (93,112,84)
(93,0,63) ; (186,112,84)
(186,0,63) ; (279,112,84)
(279,0,63) ; (372,112,84)
(372,0,63) ; (465,112,84)
(465,0,63) ; (558,112,84)
(0,112,63) ; (93,224,84)
(93,112,63) ; (186,224,84)
(186,112,63) ; (279,224,84)
(279,112,63) ; (372,224,84)
(372,112,63) ; (465,224,84)
(465,112,63) ; (558,224,84)
(0,0,84) ; (93,112,105)
(93,0,84) ; (186,112,105)
(186,0,84) ; (279,112,105)
(279,0,84) ; (372,112,105)
(372,0,84) ; (465,112,105)
(465,0,84) ; (558,112,105)
(0,112,84) ; (93,224,105)
(93,112,84) ; (186,224,105)
(186,112,84) ; (279,224,105)
(279,112,84) ; (372,224,105)
(372,112,84) ; (465,224,105)
(465,112,84) ; (558,224,105)
(0,0,105) ; (93,112,126)
(93,0,105) ; (186,112,126)
(186,0,105) ; (279,112,126)
(279,0,105) ; (372,112,126)
(372,0,105) ; (465,112,126)
(465,0,105) ; (558,112,126)
(0,112,105) ; (93,224,126)
(93,112,105) ; (186,224,126)
(186,112,105) ; (279,224,126)
(279,112,105) ; (372,224,126)
(372,112,105) ; (465,224,126)
(465,112,105) ; (558,224,126)
(0,0,126) ; (93,112,147)
(93,0,126) ; (186,112,147)
(186,0,126) ; (279,112,147)
(279,0,126) ; (372,112,147)
(372,0,126) ; (465,112,147)
(465,0,126) ; (558,112,147)
(0,112,126) ; (93,224,147)
(93,112,126) ; (186,224,147)
(186,112,126) ; (279,224,147)
(279,112,126) ; (372,224,147)
(372,112,126) ; (465,224,147)
(465,112,126) ; (558,224,147)
(0,0,147) ; (93,112,168)
(93,0,147) ; (186,112,168)
(186,0,147) ; (279,112,168)
(279,0,147) ; (372,112,168)
(372,0,147) ; (465,112,168)
(465,0,147) ; (558,112,168)
(0,112,147) ; (93,224,168)
(93,112,147) ; (186,224,168)
(186,112,147) ; (279,224,168)
(279,112,147) ; (372,224,168)
(372,112,147) ; (465,224,168)
(465,112,147) ; (558,224,168)
(0,0,168) ; (93,112,189)
(93,0,168) ; (186,112,189)
(186,0,168) ; (279,112,189)
(279,0,168) ; (372,112,189)
(372,0,168) ; (465,112,189)
(465,0,168) ; (558,112,189)
(0,112,168) ; (93,224,189)
(93,112,168) ; (186,224,189)
(186,112,168) ; (279,224,189)
(279,112,168) ; (372,224,189)
(372,112,168) ; (465,224,189)
(465,112,168) ; (558,224,189)
(0,0,189) ; (93,112,210)
(93,0,189) ; (186,112,210)
(186,0,189) ; (279,112,210)
(279,0,189) ; (372,112,210)
(372,0,189) ; (465,112,210)
(465,0,189) ; (558,112,210)
(0,112,189) ; (93,224,210)
(93,112,189) ; (186,224,210)
(186,112,189) ; (279,224,210)
(279,112,189) ; (372,224,210)
(372,112,189) ; (465,224,210)
(465,112,189) ; (558,224,210)
