0.2609
1 101
587 233 220
1
1 96 0  99 0  39 1 81
(0,0,0) ; (96,99,39)
(96,0,0) ; (192,99,39)
(192,0,0) ; (288,99,39)
(0,99,0) ; (96,198,39)
(96,99,0) ; (192,198,39)
(192,99,0) ; (288,198,39)
(288,0,0) ; (387,96,39)
(387,0,0) ; (486,96,39)
(486,0,0) ; (585,96,39)
(288,96,0) ; (387,192,39)
(387,96,0) ; (486,192,39)
(486,96,0) ; (585,192,39)
(0,0,39) ; (96,99,78)
(96,0,39) ; (192,99,78)
(192,0,39) ; (288,99,78)
(0,99,39) ; (96,198,78)
(96,99,39) ; (192,198,78)
(192,99,39) ; (288,198,78)
(288,0,39) ; (387,96,78)
(387,0,39) ; (486,96,78)
(486,0,39) ; (585,96,78)
(288,96,39) ; (387,192,78)
(387,96,39) ; (486,192,78)
(486,96,39) ; (585,192,78)
(0,0,78) ; (96,99,117)
(96,0,78) ; (192,99,117)
(192,0,78) ; (288,99,117)
(0,99,78) ; (96,198,117)
(96,99,78) ; (192,198,117)
(192,99,78) ; (288,198,117)
(288,0,78) ; (387,96,117)
(387,0,78) ; (486,96,117)
(486,0,78) ; (585,96,117)
(288,96,78) ; (387,192,117)
(387,96,78) ; (486,192,117)
(486,96,78) ; (585,192,117)
(0,0,117) ; (96,99,156)
(96,0,117) ; (192,99,156)
(192,0,117) ; (288,99,156)
(0,99,117) ; (96,198,156)
(96,99,117) ; (192,198,156)
(192,99,117) ; (288,198,156)
(288,0,117) ; (387,96,156)
(387,0,117) ; (486,96,156)
(486,0,117) ; (585,96,156)
(288,96,117) ; (387,192,156)
(387,96,117) ; (486,192,156)
(486,96,117) ; (585,192,156)
(0,0,156) ; (96,99,195)
(96,0,156) ; (192,99,195)
(192,0,156) ; (288,99,195)
(0,99,156) ; (96,198,195)
(96,99,156) ; (192,198,195)
(192,99,156) ; (288,198,195)
(288,0,156) ; (387,96,195)
(387,0,156) ; (486,96,195)
(486,0,156) ; (585,96,195)
(288,96,156) ; (387,192,195)
(387,96,156) ; (486,192,195)
(486,96,156) ; (585,192,195)
