0.0734
5 501
587 233 220
1
1 113 0  51 1  41 1 127
(0,0,0) ; (51,113,41)
(51,0,0) ; (102,113,41)
(102,0,0) ; (153,113,41)
(153,0,0) ; (204,113,41)
(204,0,0) ; (255,113,41)
(255,0,0) ; (306,113,41)
(306,0,0) ; (357,113,41)
(357,0,0) ; (408,113,41)
(408,0,0) ; (459,113,41)
(0,113,0) ; (51,226,41)
(51,113,0) ; (102,226,41)
(102,113,0) ; (153,226,41)
(153,113,0) ; (204,226,41)
(204,113,0) ; (255,226,41)
(255,113,0) ; (306,226,41)
(306,113,0) ; (357,226,41)
(357,113,0) ; (408,226,41)
(408,113,0) ; (459,226,41)
(0,0,41) ; (51,113,82)
(51,0,41) ; (102,113,82)
(102,0,41) ; (153,113,82)
(153,0,41) ; (204,113,82)
(204,0,41) ; (255,113,82)
(255,0,41) ; (306,113,82)
(306,0,41) ; (357,113,82)
(357,0,41) ; (408,113,82)
(408,0,41) ; (459,113,82)
(0,113,41) ; (51,226,82)
(51,113,41) ; (102,226,82)
(102,113,41) ; (153,226,82)
(153,113,41) ; (204,226,82)
(204,113,41) ; (255,226,82)
(255,113,41) ; (306,226,82)
(306,113,41) ; (357,226,82)
(357,113,41) ; (408,226,82)
(408,113,41) ; (459,226,82)
(0,0,82) ; (51,113,123)
(51,0,82) ; (102,113,123)
(102,0,82) ; (153,113,123)
(153,0,82) ; (204,113,123)
(204,0,82) ; (255,113,123)
(255,0,82) ; (306,113,123)
(306,0,82) ; (357,113,123)
(357,0,82) ; (408,113,123)
(408,0,82) ; (459,113,123)
(0,113,82) ; (51,226,123)
(51,113,82) ; (102,226,123)
(102,113,82) ; (153,226,123)
(153,113,82) ; (204,226,123)
(204,113,82) ; (255,226,123)
(255,113,82) ; (306,226,123)
(306,113,82) ; (357,226,123)
(357,113,82) ; (408,226,123)
(408,113,82) ; (459,226,123)
(0,0,123) ; (51,113,164)
(51,0,123) ; (102,113,164)
(102,0,123) ; (153,113,164)
(153,0,123) ; (204,113,164)
(204,0,123) ; (255,113,164)
(255,0,123) ; (306,113,164)
(306,0,123) ; (357,113,164)
(357,0,123) ; (408,113,164)
(408,0,123) ; (459,113,164)
(0,113,123) ; (51,226,164)
(51,113,123) ; (102,226,164)
(102,113,123) ; (153,226,164)
(153,113,123) ; (204,226,164)
(204,113,123) ; (255,226,164)
(255,113,123) ; (306,226,164)
(306,113,123) ; (357,226,164)
(357,113,123) ; (408,226,164)
(408,113,123) ; (459,226,164)
(0,0,164) ; (41,113,215)
(41,0,164) ; (82,113,215)
(82,0,164) ; (123,113,215)
(123,0,164) ; (164,113,215)
(164,0,164) ; (205,113,215)
(0,113,164) ; (41,226,215)
(41,113,164) ; (82,226,215)
(82,113,164) ; (123,226,215)
(123,113,164) ; (164,226,215)
(164,113,164) ; (205,226,215)
(205,0,164) ; (246,113,215)
(246,0,164) ; (287,113,215)
(287,0,164) ; (328,113,215)
(328,0,164) ; (369,113,215)
(369,0,164) ; (410,113,215)
(410,0,164) ; (451,113,215)
(205,113,164) ; (246,226,215)
(246,113,164) ; (287,226,215)
(287,113,164) ; (328,226,215)
(328,113,164) ; (369,226,215)
(369,113,164) ; (410,226,215)
(410,113,164) ; (451,226,215)
(464,0,0) ; (505,113,51)
(505,0,0) ; (546,113,51)
(546,0,0) ; (587,113,51)
(464,113,0) ; (505,226,51)
(505,113,0) ; (546,226,51)
(546,113,0) ; (587,226,51)
(464,0,51) ; (505,113,102)
(505,0,51) ; (546,113,102)
(546,0,51) ; (587,113,102)
(464,113,51) ; (505,226,102)
(505,113,51) ; (546,226,102)
(546,113,51) ; (587,226,102)
(464,0,102) ; (505,113,153)
(505,0,102) ; (546,113,153)
(546,0,102) ; (587,113,153)
(464,113,102) ; (505,226,153)
(505,113,102) ; (546,226,153)
(546,113,102) ; (587,226,153)
(464,0,153) ; (505,113,204)
(505,0,153) ; (546,113,204)
(546,0,153) ; (587,113,204)
(464,113,153) ; (505,226,204)
(505,113,153) ; (546,226,204)
(546,113,153) ; (587,226,204)
