0.0363
13 1301
587 233 220
5
1 120 1  88 1  70 1 23
2 81 1  90 0  44 1 17
3 37 1  46 1  35 1 24
4 33 1  25 1  63 0 28
5 72 1  43 1  75 1 20
(375,43,219) ; (0,0,0)
(490,190,176) ; (0,43,0)
(90,162,220) ; (497,0,0)
(92,70,74) ; (495,163,0)
(75,43,216) ; (422,0,0)
(46,37,214) ; (376,0,0)
(88,70,120) ; (499,163,74)
(360,81,44) ; (0,152,176)
(270,81,44) ; (0,43,176)
(315,25,33) ; (0,127,176)
(75,144,43) ; (405,89,176)
(210,46,37) ; (270,43,176)
(37,138,35) ; (368,95,176)
(50,63,33) ; (318,89,176)
(46,37,35) ; (272,89,176)
(63,66,25) ; (524,167,194)
