0.033
79 7901
587 233 220
5
1 64 1  52 1  68 1 25
2 30 1  52 1  41 1 18
3 91 0  36 1  66 1 26
4 93 1  100 1  72 1 21
5 61 1  44 1  53 1 25
(0,0,0) ; (93,72,100)
(93,0,0) ; (186,72,100)
(186,0,0) ; (279,72,100)
(0,0,100) ; (91,36,166)
(91,0,100) ; (182,36,166)
(182,0,100) ; (273,36,166)
(0,36,100) ; (91,72,166)
(91,36,100) ; (182,72,166)
(182,36,100) ; (273,72,166)
(0,140,0) ; (100,233,72)
(100,140,0) ; (200,233,72)
(200,140,0) ; (300,233,72)
(300,140,0) ; (400,233,72)
(0,140,72) ; (100,233,144)
(100,140,72) ; (200,233,144)
(200,140,72) ; (300,233,144)
(300,140,72) ; (400,233,144)
(0,140,144) ; (100,233,216)
(100,140,144) ; (200,233,216)
(200,140,144) ; (300,233,216)
(300,140,144) ; (400,233,216)
(494,0,0) ; (585,66,36)
(494,66,0) ; (585,132,36)
(494,132,0) ; (587,232,72)
(494,0,36) ; (585,66,72)
(494,66,36) ; (585,132,72)
(494,0,72) ; (585,66,108)
(494,66,72) ; (585,132,108)
(494,132,72) ; (587,232,144)
(494,0,108) ; (585,66,144)
(494,66,108) ; (585,132,144)
(494,0,144) ; (585,66,180)
(494,66,144) ; (585,132,180)
(494,132,144) ; (587,232,216)
(494,0,180) ; (585,66,216)
(494,66,180) ; (585,132,216)
(0,72,0) ; (64,140,52)
(64,72,0) ; (128,140,52)
(128,72,0) ; (192,140,52)
(192,72,0) ; (256,140,52)
(256,72,0) ; (320,140,52)
(0,72,52) ; (64,140,104)
(64,72,52) ; (128,140,104)
(128,72,52) ; (192,140,104)
(192,72,52) ; (256,140,104)
(256,72,52) ; (320,140,104)
(0,72,104) ; (64,140,156)
(64,72,104) ; (128,140,156)
(128,72,104) ; (192,140,156)
(192,72,104) ; (256,140,156)
(256,72,104) ; (320,140,156)
(0,72,156) ; (52,140,220)
(52,72,156) ; (104,140,220)
(104,72,156) ; (156,140,220)
(156,72,156) ; (208,140,220)
(208,72,156) ; (260,140,220)
(260,72,156) ; (312,140,220)
(388,0,0) ; (441,44,61)
(441,0,0) ; (494,44,61)
(388,44,0) ; (441,88,61)
(441,44,0) ; (494,88,61)
(388,88,0) ; (441,132,61)
(441,88,0) ; (494,132,61)
(388,0,61) ; (441,44,122)
(441,0,61) ; (494,44,122)
(388,44,61) ; (441,88,122)
(441,44,61) ; (494,88,122)
(388,88,61) ; (441,132,122)
(441,88,61) ; (494,132,122)
(388,0,122) ; (441,44,183)
(441,0,122) ; (494,44,183)
(388,44,122) ; (441,88,183)
(441,44,122) ; (494,88,183)
(388,88,122) ; (441,132,183)
(441,88,122) ; (494,132,183)
(401,133,0) ; (494,233,72)
(401,133,72) ; (494,233,144)
(401,133,144) ; (494,233,216)
(335,0,0) ; (388,44,61)
(335,0,61) ; (388,44,122)
(335,0,122) ; (388,44,183)
(335,0,183) ; (387,41,213)
(322,44,0) ; (388,135,36)
(322,44,36) ; (388,135,72)
(322,44,72) ; (388,135,108)
(322,44,108) ; (388,135,144)
(322,44,144) ; (388,135,180)
(322,44,180) ; (388,135,216)
(283,0,0) ; (335,41,30)
(283,0,30) ; (335,41,60)
(283,0,60) ; (335,41,90)
(283,0,90) ; (335,41,120)
(283,0,120) ; (335,41,150)
(283,0,150) ; (335,41,180)
(283,0,180) ; (335,41,210)
(281,41,0) ; (322,71,52)
(281,41,52) ; (322,71,104)
(281,41,104) ; (322,71,156)
(281,41,156) ; (322,71,208)
(0,0,166) ; (68,64,218)
(68,0,166) ; (136,64,218)
(136,0,166) ; (204,64,218)
(204,0,166) ; (272,64,218)
(403,0,183) ; (494,66,219)
(403,66,183) ; (494,132,219)
