0.0448
74 7401
587 233 220
5
1 117 0  39 1  64 1 31
2 34 1  56 1  68 0 25
3 108 0  54 1  64 1 25
4 43 1  28 1  31 1 22
5 59 1  50 1  60 1 43
(0,0,0) ; (117,39,64)
(0,39,0) ; (117,78,64)
(0,78,0) ; (117,117,64)
(117,0,0) ; (156,117,64)
(156,0,0) ; (195,117,64)
(0,0,64) ; (64,117,103)
(64,0,64) ; (128,117,103)
(128,0,64) ; (192,117,103)
(0,0,103) ; (64,117,142)
(64,0,103) ; (128,117,142)
(128,0,103) ; (192,117,142)
(0,0,142) ; (64,117,181)
(64,0,142) ; (128,117,181)
(128,0,142) ; (192,117,181)
(0,0,181) ; (64,117,220)
(64,0,181) ; (128,117,220)
(128,0,181) ; (192,117,220)
(203,0,0) ; (267,108,54)
(267,0,0) ; (331,108,54)
(331,0,0) ; (395,108,54)
(395,0,0) ; (459,108,54)
(459,0,0) ; (523,108,54)
(523,0,0) ; (587,108,54)
(203,0,54) ; (267,108,108)
(267,0,54) ; (331,108,108)
(331,0,54) ; (395,108,108)
(395,0,54) ; (459,108,108)
(459,0,54) ; (523,108,108)
(523,0,54) ; (587,108,108)
(203,0,108) ; (267,108,162)
(267,0,108) ; (331,108,162)
(331,0,108) ; (395,108,162)
(395,0,108) ; (459,108,162)
(459,0,108) ; (523,108,162)
(523,0,108) ; (587,108,162)
(203,0,162) ; (267,108,216)
(267,0,162) ; (331,108,216)
(331,0,162) ; (395,108,216)
(395,0,162) ; (459,108,216)
(459,0,162) ; (523,108,216)
(523,0,162) ; (587,108,216)
(0,121,0) ; (68,177,34)
(68,121,0) ; (136,177,34)
(0,177,0) ; (68,233,34)
(68,177,0) ; (136,233,34)
(0,121,34) ; (68,177,68)
(68,121,34) ; (136,177,68)
(0,177,34) ; (68,233,68)
(68,177,34) ; (136,233,68)
(0,121,68) ; (68,177,102)
(68,121,68) ; (136,177,102)
(0,177,68) ; (68,233,102)
(68,177,68) ; (136,233,102)
(0,121,102) ; (68,177,136)
(68,121,102) ; (136,177,136)
(0,177,102) ; (68,233,136)
(68,177,102) ; (136,233,136)
(0,121,136) ; (68,177,170)
(68,121,136) ; (136,177,170)
(0,177,136) ; (68,233,170)
(68,177,136) ; (136,233,170)
(137,173,0) ; (187,233,59)
(187,173,0) ; (237,233,59)
(237,173,0) ; (287,233,59)
(287,173,0) ; (337,233,59)
(337,173,0) ; (387,233,59)
(387,173,0) ; (437,233,59)
(437,173,0) ; (487,233,59)
(487,173,0) ; (537,233,59)
(537,173,0) ; (587,233,59)
(137,173,59) ; (187,233,118)
(187,173,59) ; (237,233,118)
(237,173,59) ; (287,233,118)
(287,173,59) ; (337,233,118)
(337,173,59) ; (387,233,118)
(387,173,59) ; (437,233,118)
(437,173,59) ; (487,233,118)
(487,173,59) ; (537,233,118)
(537,173,59) ; (587,233,118)
(236,109,0) ; (353,173,39)
(353,109,0) ; (470,173,39)
(470,109,0) ; (587,173,39)
(236,109,39) ; (353,173,78)
(353,109,39) ; (470,173,78)
(470,109,39) ; (587,173,78)
(236,109,78) ; (353,173,117)
(353,109,78) ; (470,173,117)
(470,109,78) ; (587,173,117)
(236,109,117) ; (353,173,156)
(353,109,117) ; (470,173,156)
(470,109,117) ; (587,173,156)
(236,109,156) ; (286,169,215)
(286,109,156) ; (336,169,215)
(336,109,156) ; (386,169,215)
(386,109,156) ; (436,169,215)
(436,109,156) ; (486,169,215)
(486,109,156) ; (536,169,215)
(536,109,156) ; (586,169,215)
(136,117,0) ; (204,173,34)
(136,117,34) ; (204,173,68)
(136,117,68) ; (204,173,102)
(136,117,102) ; (204,173,136)
(204,117,0) ; (235,145,43)
(204,145,0) ; (235,173,43)
(204,117,43) ; (235,145,86)
(204,145,43) ; (235,173,86)
(204,117,86) ; (235,145,129)
(204,145,86) ; (235,173,129)
(171,173,118) ; (230,233,168)
(230,173,118) ; (289,233,168)
(289,173,118) ; (348,233,168)
(348,173,118) ; (407,233,168)
(407,173,118) ; (467,232,168)
(467,173,118) ; (527,232,168)
(527,173,118) ; (587,232,168)
(171,173,168) ; (230,233,218)
(230,173,168) ; (289,233,218)
(289,173,168) ; (348,233,218)
(348,173,168) ; (407,233,218)
(407,173,168) ; (467,232,218)
(467,173,168) ; (527,232,218)
(527,173,168) ; (587,232,218)
(137,177,118) ; (168,205,161)
(137,205,118) ; (168,233,161)
(204,117,129) ; (235,145,172)
(204,145,129) ; (235,173,172)
(204,117,172) ; (235,145,215)
(204,145,172) ; (235,173,215)
(136,117,136) ; (204,173,170)
(137,190,161) ; (168,233,189)
(0,173,170) ; (59,233,220)
(59,173,170) ; (119,232,220)
(0,130,170) ; (28,173,201)
(28,130,170) ; (56,173,201)
(56,130,170) ; (84,173,201)
(84,130,170) ; (112,173,201)
(136,117,170) ; (167,145,213)
(167,117,170) ; (198,145,213)
(136,145,170) ; (167,173,213)
(167,145,170) ; (198,173,213)
(137,190,189) ; (165,233,220)
