0.0343
65 6501
587 233 220
8
1 84 1  67 1  76 1 28
2 77 0  37 1  48 1 25
3 117 0  31 1  21 1 33
4 73 0  29 1  28 1 29
5 99 0  36 1  53 1 20
6 36 1  78 0  57 1 24
7 32 1  27 1  69 0 24
8 63 0  29 1  31 1 24
(469,84,183) ; (0,0,0)
(336,76,218) ; (0,157,0)
(249,77,192) ; (338,156,0)
(114,156,216) ; (473,0,0)
(174,73,112) ; (0,84,0)
(297,72,106) ; (176,84,0)
(297,72,85) ; (176,84,106)
(117,31,105) ; (0,126,112)
(117,42,93) ; (0,84,112)
(28,73,87) ; (117,84,112)
(29,73,56) ; (145,84,112)
(29,63,31) ; (145,94,168)
(198,53,36) ; (0,0,183)
(189,31,29) ; (0,53,183)
(234,84,31) ; (233,0,183)
(31,63,29) ; (198,0,183)
(283,63,29) ; (190,90,191)
(224,69,27) ; (363,156,192)
