0.0466
2 201
587 233 220
8
1 84 1  48 1  66 1 10
2 107 1  67 1  55 1 16
3 78 1  65 1  78 1 7
4 118 1  70 1  61 1 9
5 47 1  53 1  73 1 10
6 74 1  81 1  57 1 11
7 65 1  43 1  59 1 11
8 100 1  72 1  73 1 12
(0,0,0) ; (61,118,70)
(61,0,0) ; (122,118,70)
(122,0,0) ; (183,118,70)
(0,0,70) ; (61,118,140)
(61,0,70) ; (122,118,140)
(122,0,70) ; (183,118,140)
(0,0,140) ; (61,118,210)
(61,0,140) ; (122,118,210)
(122,0,140) ; (183,118,210)
(299,0,0) ; (371,100,73)
(371,0,0) ; (443,100,73)
(443,0,0) ; (515,100,73)
(515,0,0) ; (587,100,73)
(299,0,73) ; (371,100,146)
(371,0,73) ; (443,100,146)
(443,0,73) ; (515,100,146)
(515,0,73) ; (587,100,146)
(299,0,146) ; (371,100,219)
(371,0,146) ; (443,100,219)
(443,0,146) ; (515,100,219)
(515,0,146) ; (587,100,219)
(0,119,0) ; (81,176,74)
(81,119,0) ; (162,176,74)
(0,176,0) ; (81,233,74)
(81,176,0) ; (162,233,74)
(0,119,74) ; (81,176,148)
(81,119,74) ; (162,176,148)
(0,176,74) ; (81,233,148)
(81,176,74) ; (162,233,148)
(0,119,148) ; (107,174,215)
(0,174,148) ; (107,229,215)
(107,119,148) ; (162,226,215)
(347,101,0) ; (395,167,84)
(395,101,0) ; (443,167,84)
(443,101,0) ; (491,167,84)
(491,101,0) ; (539,167,84)
(539,101,0) ; (587,167,84)
(347,167,0) ; (395,233,84)
(395,167,0) ; (443,233,84)
(443,167,0) ; (491,233,84)
(491,167,0) ; (539,233,84)
(539,167,0) ; (587,233,84)
(347,101,84) ; (425,166,162)
(425,101,84) ; (503,166,162)
(503,101,84) ; (581,166,162)
(347,166,84) ; (425,231,162)
(425,166,84) ; (503,231,162)
(503,166,84) ; (581,231,162)
(162,126,0) ; (229,233,55)
(229,126,0) ; (296,233,55)
(162,126,55) ; (229,233,110)
(229,126,55) ; (296,233,110)
(162,126,110) ; (229,233,165)
(229,126,110) ; (296,233,165)
(162,126,165) ; (229,233,220)
(229,126,165) ; (296,233,220)
(183,0,0) ; (238,67,107)
(238,0,0) ; (293,67,107)
(183,0,107) ; (238,67,214)
(238,0,107) ; (293,67,214)
(300,180,0) ; (347,233,73)
(300,180,73) ; (347,233,146)
(300,180,146) ; (347,233,219)
(183,67,0) ; (248,126,43)
(183,67,43) ; (248,126,86)
(183,67,86) ; (248,126,129)
(183,67,129) ; (248,126,172)
(183,67,172) ; (248,126,215)
(300,107,0) ; (347,180,53)
(300,107,53) ; (347,180,106)
(300,107,106) ; (347,180,159)
(300,107,159) ; (347,180,212)
(248,67,0) ; (291,126,65)
(248,67,65) ; (291,126,130)
(248,67,130) ; (291,126,195)
(359,150,162) ; (433,231,219)
(433,150,162) ; (507,231,219)
(507,150,162) ; (581,231,219)
(362,103,162) ; (435,150,215)
(435,103,162) ; (508,150,215)
(508,103,162) ; (581,150,215)
