0.0527
72 7201
587 233 220
8
1 117 1  72 1  79 1 13
2 60 1  46 1  42 1 10
3 82 1  68 1  67 1 19
4 60 1  45 1  64 1 15
5 52 1  83 0  36 1 10
6 56 1  79 1  51 1 17
7 106 0  96 0  42 1 9
8 54 1  29 1  48 1 16
(272,96,168) ; (0,0,0)
(271,136,164) ; (0,97,0)
(224,79,219) ; (363,0,0)
(234,72,158) ; (353,161,0)
(234,79,216) ; (353,82,0)
(90,64,180) ; (273,0,0)
(79,168,153) ; (274,65,0)
(68,164,67) ; (285,69,153)
(225,64,60) ; (362,169,158)
(216,83,52) ; (0,148,164)
(203,48,54) ; (0,100,164)
(48,87,54) ; (216,144,164)
(60,42,46) ; (203,102,164)
(192,60,45) ; (0,0,168)
(162,29,48) ; (0,60,168)
(42,60,46) ; (192,0,168)
(54,29,48) ; (162,60,168)
(36,83,52) ; (234,0,168)
(83,52,36) ; (280,0,180)
