0.041
87 8701
587 233 220
8
1 44 1  43 1  68 1 14
2 115 0  76 0  30 1 24
3 88 0  67 0  20 1 19
4 61 1  90 0  42 1 23
5 59 1  31 1  59 1 22
6 55 1  51 1  29 1 17
7 62 1  91 1  79 1 18
8 112 0  39 1  43 1 14
(0,0,0) ; (76,115,30)
(76,0,0) ; (152,115,30)
(152,0,0) ; (228,115,30)
(0,0,30) ; (76,115,60)
(76,0,30) ; (152,115,60)
(152,0,30) ; (228,115,60)
(0,0,60) ; (76,115,90)
(76,0,60) ; (152,115,90)
(152,0,60) ; (228,115,90)
(0,0,90) ; (76,115,120)
(76,0,90) ; (152,115,120)
(152,0,90) ; (228,115,120)
(0,0,120) ; (76,115,150)
(76,0,120) ; (152,115,150)
(152,0,120) ; (228,115,150)
(0,0,150) ; (76,115,180)
(76,0,150) ; (152,115,180)
(152,0,150) ; (228,115,180)
(0,0,180) ; (43,112,219)
(43,0,180) ; (86,112,219)
(86,0,180) ; (129,112,219)
(129,0,180) ; (172,112,219)
(172,0,180) ; (215,112,219)
(314,0,0) ; (405,62,79)
(405,0,0) ; (496,62,79)
(496,0,0) ; (587,62,79)
(314,62,0) ; (405,124,79)
(405,62,0) ; (496,124,79)
(496,62,0) ; (587,124,79)
(314,124,0) ; (405,186,79)
(405,124,0) ; (496,186,79)
(496,124,0) ; (587,186,79)
(314,0,79) ; (405,62,158)
(405,0,79) ; (496,62,158)
(496,0,79) ; (587,62,158)
(314,62,79) ; (405,124,158)
(405,62,79) ; (496,124,158)
(496,62,79) ; (587,124,158)
(314,124,79) ; (405,186,158)
(405,124,79) ; (496,186,158)
(496,124,79) ; (587,186,158)
(314,0,158) ; (404,61,200)
(404,0,158) ; (494,61,200)
(494,0,158) ; (584,61,200)
(314,61,158) ; (404,122,200)
(404,61,158) ; (494,122,200)
(494,61,158) ; (584,122,200)
(314,122,158) ; (404,183,200)
(404,122,158) ; (494,183,200)
(494,122,158) ; (584,183,200)
(314,0,200) ; (381,88,220)
(381,0,200) ; (448,88,220)
(448,0,200) ; (515,88,220)
(515,0,200) ; (582,88,220)
(314,88,200) ; (381,176,220)
(381,88,200) ; (448,176,220)
(448,88,200) ; (515,176,220)
(515,88,200) ; (582,176,220)
(0,115,0) ; (59,174,31)
(0,174,0) ; (59,233,31)
(0,115,31) ; (59,174,62)
(0,174,31) ; (59,233,62)
(0,115,62) ; (59,174,93)
(0,174,62) ; (59,233,93)
(0,115,93) ; (59,174,124)
(0,174,93) ; (59,233,124)
(0,115,124) ; (59,174,155)
(0,174,124) ; (59,233,155)
(0,115,155) ; (59,174,186)
(0,174,155) ; (59,233,186)
(0,115,186) ; (59,174,217)
(0,174,186) ; (59,233,217)
(315,190,0) ; (383,233,44)
(383,190,0) ; (451,233,44)
(451,190,0) ; (519,233,44)
(519,190,0) ; (587,233,44)
(315,190,44) ; (383,233,88)
(383,190,44) ; (451,233,88)
(451,190,44) ; (519,233,88)
(519,190,44) ; (587,233,88)
(315,190,88) ; (405,232,149)
(405,190,88) ; (495,232,149)
(495,190,88) ; (585,232,149)
(315,190,149) ; (405,232,210)
(405,190,149) ; (495,232,210)
(495,190,149) ; (585,232,210)
(59,115,0) ; (147,182,20)
(59,182,0) ; (88,233,55)
(88,182,0) ; (117,233,55)
(117,182,0) ; (146,233,55)
(59,115,20) ; (147,182,40)
(59,115,40) ; (147,182,60)
(59,182,55) ; (88,233,110)
(88,182,55) ; (117,233,110)
(117,182,55) ; (146,233,110)
(59,115,60) ; (147,182,80)
(59,115,80) ; (147,182,100)
(59,115,100) ; (147,182,120)
(59,182,110) ; (88,233,165)
(88,182,110) ; (117,233,165)
(117,182,110) ; (146,233,165)
(59,115,120) ; (147,182,140)
(59,115,140) ; (147,182,160)
(59,115,160) ; (147,182,180)
(59,182,165) ; (88,233,220)
(88,182,165) ; (117,233,220)
(117,182,165) ; (146,233,220)
(59,115,180) ; (147,182,200)
(59,115,200) ; (147,182,220)
(147,118,0) ; (223,233,30)
(147,118,30) ; (223,233,60)
(147,118,60) ; (223,233,90)
(147,118,90) ; (223,233,120)
(223,172,0) ; (313,233,42)
(223,172,42) ; (313,233,84)
(223,172,84) ; (313,233,126)
(223,172,126) ; (313,233,168)
(228,0,0) ; (271,112,39)
(271,0,0) ; (314,112,39)
(228,0,39) ; (271,112,78)
(271,0,39) ; (314,112,78)
(228,0,78) ; (271,112,117)
(271,0,78) ; (314,112,117)
(228,0,117) ; (271,112,156)
(271,0,117) ; (314,112,156)
(223,117,0) ; (252,172,51)
(223,117,51) ; (252,172,102)
(252,113,0) ; (283,172,59)
(283,113,0) ; (314,172,59)
(252,113,59) ; (283,172,118)
(283,113,59) ; (314,172,118)
(252,113,118) ; (311,172,149)
(223,117,102) ; (252,172,153)
(147,118,120) ; (223,233,150)
(147,118,150) ; (223,233,180)
(252,113,149) ; (311,172,180)
(223,117,153) ; (252,172,204)
(228,0,156) ; (270,90,217)
(270,0,156) ; (312,90,217)
(223,172,168) ; (313,233,210)
(147,121,180) ; (190,233,219)
(252,113,180) ; (311,172,211)
