0.0494
22 2201
587 233 220
20
1 73 0  56 0  28 1 5
2 39 1  78 0  67 1 5
3 104 1  67 1  67 1 6
4 81 1  72 1  63 1 5
5 92 1  60 1  61 1 6
6 43 1  93 0  58 1 8
7 84 0  74 0  30 1 5
8 38 1  82 0  42 1 5
9 103 0  73 0  26 1 5
10 110 0  77 1  54 1 3
11 33 1  57 1  72 0 5
12 80 1  86 1  79 1 11
13 93 1  58 1  74 1 5
14 63 0  30 1  31 1 6
15 86 1  75 1  79 1 3
16 85 1  76 1  70 1 8
17 64 1  71 1  67 1 2
18 51 1  35 1  35 1 2
19 42 1  38 1  65 1 4
20 67 0  42 1  32 1 6
(208,67,67) ; (0,0,0)
(395,86,218) ; (0,147,0)
(305,86,219) ; (282,0,0)
(74,84,213) ; (513,149,0)
(67,78,120) ; (0,67,0)
(116,74,214) ; (397,159,0)
(81,63,216) ; (506,86,0)
(110,77,108) ; (67,67,0)
(103,73,187) ; (403,86,0)
(71,64,176) ; (208,0,0)
(67,78,117) ; (177,67,0)
(121,61,184) ; (282,86,0)
(38,82,126) ; (244,64,0)
(208,67,134) ; (0,0,67)
(110,77,54) ; (67,67,108)
(66,72,57) ; (177,67,117)
(65,76,42) ; (0,67,120)
(38,82,42) ; (244,64,126)
(56,73,56) ; (0,67,162)
(93,74,58) ; (67,67,162)
(38,82,42) ; (244,64,168)
(64,67,42) ; (177,67,174)
(67,64,42) ; (208,0,176)
(63,60,31) ; (340,86,184)
(51,35,35) ; (289,86,184)
(94,63,30) ; (408,95,187)
