0.0521
56 5601
587 233 220
20
1 40 1  70 1  76 1 7
2 45 1  54 1  65 1 6
3 39 1  52 1  70 1 7
4 79 0  32 1  36 1 5
5 49 1  63 1  79 1 5
6 88 1  73 1  59 1 9
7 110 1  94 1  59 1 6
8 97 1  69 1  69 1 8
9 78 0  38 1  24 1 9
10 69 1  38 1  38 1 5
11 99 1  90 1  59 1 4
12 69 1  75 1  65 1 5
13 77 1  39 1  71 1 3
14 32 1  72 0  28 1 13
15 105 0  33 1  71 0 9
16 55 1  96 0  40 1 6
17 99 0  73 0  24 1 8
18 119 0  42 1  64 1 5
19 41 1  97 0  59 1 4
20 113 0  30 1  43 1 2
(99,73,220) ; (0,0,0)
(297,59,219) ; (290,0,0)
(217,96,220) ; (0,137,0)
(76,170,168) ; (511,63,0)
(79,64,219) ; (0,73,0)
(291,69,138) ; (220,164,0)
(118,73,176) ; (99,0,0)
(213,105,138) ; (298,59,0)
(119,64,168) ; (79,73,0)
(72,78,154) ; (217,0,0)
(99,59,131) ; (198,78,0)
(78,24,38) ; (217,140,0)
(78,24,38) ; (217,140,38)
(78,24,38) ; (217,140,76)
(78,24,38) ; (217,140,114)
(90,54,65) ; (198,78,131)
(96,55,80) ; (415,178,138)
(63,98,79) ; (445,59,138)
(194,69,69) ; (221,164,138)
(140,76,80) ; (305,59,138)
(144,28,64) ; (301,135,138)
(78,24,38) ; (217,140,152)
(69,75,65) ; (217,0,154)
(70,76,40) ; (513,157,168)
(70,39,52) ; (513,63,168)
(65,54,45) ; (518,103,168)
(119,64,42) ; (79,73,168)
(76,70,40) ; (99,0,176)
(38,69,38) ; (175,0,176)
(78,38,24) ; (198,78,196)
