0.0389
45 4501
587 233 220
20
1 77 0  28 1  50 1 7
2 84 1  61 1  44 1 7
3 62 0  52 1  30 1 7
4 112 0  28 1  76 0 5
5 37 1  37 1  33 1 9
6 68 1  82 1  63 1 9
7 82 0  40 1  31 1 5
8 62 0  48 1  29 1 9
9 75 0  26 1  50 1 13
10 101 1  99 1  52 1 7
11 36 1  46 1  32 1 11
12 44 1  81 0  25 1 7
13 101 0  50 1  79 1 6
14 69 0  27 1  43 1 17
15 51 1  76 1  54 1 9
16 114 0  84 0  32 1 6
17 65 1  50 1  45 1 15
18 101 0  46 1  65 1 10
19 74 0  49 1  29 1 5
20 36 1  98 0  59 1 7
(0,0,0) ; (101,50,79)
(0,50,0) ; (101,100,79)
(101,0,0) ; (151,101,79)
(0,0,79) ; (101,50,158)
(0,50,79) ; (101,100,158)
(101,0,79) ; (151,101,158)
(0,0,158) ; (75,50,184)
(75,0,158) ; (150,50,184)
(0,50,158) ; (75,100,184)
(75,50,158) ; (150,100,184)
(0,0,184) ; (32,46,220)
(0,46,184) ; (32,92,220)
(32,0,184) ; (91,98,220)
(91,0,184) ; (150,98,220)
(327,0,0) ; (379,101,99)
(379,0,0) ; (431,101,99)
(431,0,0) ; (483,101,99)
(483,0,0) ; (535,101,99)
(535,0,0) ; (587,101,99)
(327,0,99) ; (392,101,145)
(392,0,99) ; (457,101,145)
(457,0,99) ; (522,101,145)
(522,0,99) ; (587,101,145)
(327,0,145) ; (392,50,190)
(392,0,145) ; (457,50,190)
(457,0,145) ; (522,50,190)
(522,0,145) ; (587,50,190)
(327,50,145) ; (392,100,190)
(392,50,145) ; (457,100,190)
(457,50,145) ; (522,100,190)
(522,50,145) ; (587,100,190)
(327,0,190) ; (389,48,219)
(389,0,190) ; (451,48,219)
(327,48,190) ; (389,96,219)
(389,48,190) ; (451,96,219)
(451,0,190) ; (513,48,219)
(451,48,190) ; (513,96,219)
(513,0,190) ; (587,49,219)
(513,49,190) ; (587,98,219)
(0,103,0) ; (101,168,46)
(0,168,0) ; (101,233,46)
(0,103,46) ; (101,168,92)
(0,168,46) ; (101,233,92)
(0,103,92) ; (101,168,138)
(0,168,92) ; (101,233,138)
(0,103,138) ; (50,168,183)
(50,103,138) ; (100,168,183)
(0,168,138) ; (50,233,183)
(50,168,138) ; (100,233,183)
(473,149,0) ; (587,233,32)
(473,149,32) ; (587,233,64)
(473,149,64) ; (587,233,96)
(473,149,96) ; (587,233,128)
(473,149,128) ; (587,233,160)
(473,149,160) ; (587,233,192)
(473,149,192) ; (585,225,220)
(465,105,0) ; (526,149,84)
(526,105,0) ; (587,149,84)
(465,105,84) ; (526,149,168)
(526,105,84) ; (587,149,168)
(101,156,0) ; (129,233,50)
(129,156,0) ; (157,233,50)
(157,156,0) ; (185,233,50)
(185,156,0) ; (213,233,50)
(213,156,0) ; (264,232,54)
(101,156,50) ; (213,232,78)
(213,156,54) ; (264,232,108)
(101,156,78) ; (213,232,106)
(101,156,106) ; (213,232,134)
(213,156,108) ; (264,232,162)
(101,156,134) ; (213,232,162)
(101,156,162) ; (155,232,213)
(155,156,162) ; (209,232,213)
(209,156,162) ; (263,232,213)
(269,151,0) ; (337,233,63)
(337,151,0) ; (405,233,63)
(405,151,0) ; (473,233,63)
(269,151,63) ; (337,233,126)
(337,151,63) ; (405,233,126)
(405,151,63) ; (473,233,126)
(269,151,126) ; (337,233,189)
(337,151,126) ; (405,233,189)
(405,151,126) ; (473,233,189)
(269,151,189) ; (351,191,220)
(351,151,189) ; (433,191,220)
(269,191,189) ; (351,231,220)
(351,191,189) ; (433,231,220)
(433,151,189) ; (473,233,220)
(151,0,0) ; (226,50,26)
(151,50,0) ; (226,100,26)
(226,0,0) ; (327,99,52)
(151,0,26) ; (226,50,52)
(151,50,26) ; (226,100,52)
(151,0,52) ; (226,50,78)
(151,50,52) ; (226,100,78)
(226,0,52) ; (327,99,104)
(151,0,78) ; (226,50,104)
(151,50,78) ; (226,100,104)
(101,102,0) ; (170,129,43)
(170,102,0) ; (239,129,43)
(101,129,0) ; (170,156,43)
(170,129,0) ; (239,156,43)
(101,102,43) ; (170,129,86)
(170,102,43) ; (239,129,86)
(101,129,43) ; (170,156,86)
(170,129,43) ; (239,156,86)
(101,102,86) ; (170,129,129)
(170,102,86) ; (239,129,129)
(101,129,86) ; (170,156,129)
(170,129,86) ; (239,156,129)
(400,101,0) ; (465,151,45)
(400,101,45) ; (465,151,90)
(400,101,90) ; (465,151,135)
(319,101,0) ; (400,126,44)
(319,126,0) ; (400,151,44)
(319,101,44) ; (400,126,88)
(319,126,44) ; (400,151,88)
(319,101,88) ; (400,126,132)
(319,126,88) ; (400,151,132)
(319,101,132) ; (396,151,160)
(319,101,160) ; (396,151,188)
(239,100,0) ; (315,151,54)
(239,100,54) ; (315,151,108)
(239,100,108) ; (315,151,162)
(239,100,162) ; (314,150,188)
(239,100,188) ; (313,149,217)
(151,0,104) ; (187,98,163)
(187,0,104) ; (223,98,163)
(223,0,104) ; (259,98,163)
(259,0,104) ; (295,98,163)
(295,0,104) ; (327,46,140)
(295,46,104) ; (327,92,140)
(295,0,140) ; (327,46,176)
(295,46,140) ; (327,92,176)
(101,104,129) ; (163,156,159)
(163,104,129) ; (225,156,159)
(101,104,159) ; (163,156,189)
(163,104,159) ; (225,156,189)
(101,104,189) ; (163,156,219)
(163,104,189) ; (225,156,219)
(404,107,135) ; (465,151,219)
(151,0,163) ; (194,69,190)
(194,0,163) ; (237,69,190)
(151,0,190) ; (194,69,217)
(194,0,190) ; (237,69,217)
(151,69,163) ; (228,97,213)
(237,0,163) ; (266,62,211)
(266,0,163) ; (295,62,211)
(228,69,163) ; (290,98,211)
(506,105,168) ; (587,149,193)
(474,113,168) ; (506,149,214)
(295,0,176) ; (327,46,212)
(295,46,176) ; (327,92,212)
(0,174,183) ; (98,233,219)
(0,137,183) ; (33,174,220)
(33,137,183) ; (66,174,220)
(66,137,183) ; (99,174,220)
(0,105,183) ; (46,137,219)
(46,105,183) ; (92,137,219)
(322,102,188) ; (396,151,217)
(518,106,193) ; (587,149,220)
