0.0491
4 401
587 233 220
20
1 55 1  65 1  64 1 8
2 35 1  84 0  57 1 7
3 120 0  37 1  35 1 6
4 38 1  37 1  37 1 9
5 113 1  81 1  57 1 7
6 36 1  70 1  57 1 10
7 31 1  67 0  45 1 8
8 105 0  97 0  32 1 7
9 63 1  86 1  69 1 6
10 118 1  82 1  70 1 5
11 62 1  65 1  45 1 8
12 59 1  69 1  67 1 6
13 65 1  70 1  61 1 5
14 110 0  72 0  24 1 11
15 94 0  71 0  20 1 6
16 68 1  53 1  73 1 6
17 33 1  51 1  45 1 8
18 81 0  54 0  22 1 7
19 36 1  28 1  66 0 8
20 39 1  76 1  54 1 7
(246,70,220) ; (0,0,0)
(113,162,195) ; (0,71,0)
(300,70,220) ; (287,0,0)
(189,69,217) ; (398,164,0)
(120,94,140) ; (467,70,0)
(137,110,220) ; (113,123,0)
(136,53,219) ; (113,70,0)
(145,64,130) ; (253,169,0)
(71,94,151) ; (396,70,0)
(39,54,152) ; (246,0,0)
(105,97,128) ; (291,72,0)
(37,38,148) ; (249,54,0)
(39,76,162) ; (250,93,0)
(105,97,32) ; (291,72,128)
(65,62,90) ; (333,169,130)
(70,61,65) ; (253,170,130)
(113,81,79) ; (468,70,140)
(37,38,37) ; (249,54,148)
(67,59,69) ; (396,70,151)
(67,31,45) ; (396,129,151)
(38,37,37) ; (246,0,152)
(67,69,59) ; (329,100,160)
(66,28,36) ; (330,72,160)
(35,84,57) ; (294,85,160)
(39,76,54) ; (250,93,162)
(108,81,22) ; (0,134,195)
(81,54,22) ; (0,71,195)
