0.0644
18 1801
587 233 220
60
1 53 1  49 1  79 1 2
2 91 0  64 0  28 1 3
3 42 1  28 1  63 0 2
4 64 1  55 1  33 1 2
5 77 1  99 0  43 1 3
6 113 0  90 0  26 1 2
7 68 1  89 1  48 1 2
8 48 1  25 1  71 0 4
9 31 1  92 0  43 1 2
10 76 0  35 1  55 1 3
11 36 1  54 1  70 1 2
12 81 0  34 1  31 1 2
13 65 1  81 1  50 1 2
14 86 1  81 1  55 1 4
15 54 1  97 0  28 1 3
16 118 0  59 0  21 1 2
17 58 1  35 1  52 1 3
18 118 0  35 1  40 1 3
19 81 1  71 1  78 1 2
20 45 1  71 1  54 1 2
21 57 0  52 0  23 1 4
22 87 0  37 1  53 1 1
23 97 0  31 1  67 0 2
24 96 1  78 1  61 1 1
25 80 1  68 1  60 1 3
26 89 0  39 1  59 1 4
27 71 0  31 1  50 1 1
28 95 0  37 1  21 1 3
29 74 1  88 0  40 1 3
30 88 0  39 1  80 0 2
31 55 1  31 1  69 0 2
32 89 1  88 1  68 1 1
33 68 0  38 1  24 1 3
34 114 0  96 0  42 1 1
35 114 1  97 1  76 1 3
36 97 0  54 0  27 1 2
37 92 0  34 1  24 1 1
38 45 1  55 1  39 1 1
39 84 1  87 1  60 1 1
40 119 0  93 1  53 1 2
41 105 0  82 1  51 1 2
42 65 1  69 1  47 1 4
43 88 1  95 1  52 1 1
44 43 1  47 1  35 1 2
45 78 0  89 0  37 1 2
46 35 1  67 1  66 1 2
47 57 1  30 1  59 1 2
48 44 1  80 1  52 1 5
49 84 1  61 1  67 1 2
50 83 0  33 1  41 1 2
51 36 1  60 1  71 1 2
52 98 0  75 1  38 1 2
53 54 1  48 1  39 1 2
54 115 0  45 1  63 1 2
55 37 1  59 0  27 1 2
56 54 1  58 1  37 1 2
57 42 1  71 1  71 1 3
58 97 0  30 1  38 1 2
59 102 1  97 1  62 1 2
60 65 1  49 1  45 1 1
(0,0,0) ; (68,60,80)
(0,60,0) ; (68,120,80)
(0,120,0) ; (68,180,80)
(0,0,80) ; (68,89,128)
(0,89,80) ; (68,178,128)
(490,0,0) ; (587,114,76)
(490,0,76) ; (587,114,152)
(490,0,152) ; (586,114,194)
(490,0,194) ; (580,113,220)
(489,157,0) ; (587,195,75)
(489,195,0) ; (587,233,75)
(489,157,75) ; (586,233,189)
(489,157,189) ; (586,195,219)
(489,195,189) ; (586,233,219)
(0,181,0) ; (44,233,80)
(44,181,0) ; (88,233,80)
(0,181,80) ; (88,233,175)
(0,181,175) ; (80,233,219)
(68,0,0) ; (149,55,86)
(149,0,0) ; (230,55,86)
(68,0,86) ; (149,55,172)
(149,0,86) ; (230,55,172)
(68,0,172) ; (148,52,216)
(148,0,172) ; (228,52,216)
(488,114,0) ; (587,157,77)
(488,114,77) ; (587,157,154)
(88,162,0) ; (169,233,78)
(169,162,0) ; (250,233,78)
(250,162,0) ; (285,229,66)
(250,162,66) ; (285,229,132)
(88,162,78) ; (124,232,132)
(124,162,78) ; (160,232,132)
(160,162,78) ; (205,233,132)
(205,162,78) ; (250,233,132)
(292,0,0) ; (351,89,39)
(351,0,0) ; (410,89,39)
(410,0,0) ; (450,88,74)
(450,0,0) ; (490,88,74)
(292,0,39) ; (351,89,78)
(351,0,39) ; (410,89,78)
(410,0,74) ; (490,88,113)
(292,0,78) ; (370,89,115)
(370,0,78) ; (410,88,152)
(410,0,113) ; (490,88,152)
(292,0,115) ; (370,89,152)
(395,168,0) ; (442,233,69)
(442,168,0) ; (489,233,69)
(395,168,69) ; (442,233,138)
(442,168,69) ; (489,233,138)
(395,168,138) ; (486,232,166)
(395,168,166) ; (486,232,194)
(68,55,0) ; (187,108,93)
(68,108,0) ; (187,161,93)
(68,55,93) ; (186,90,133)
(68,90,93) ; (186,125,133)
(68,125,93) ; (186,160,133)
(68,55,133) ; (125,107,156)
(125,55,133) ; (182,107,156)
(68,107,133) ; (125,159,156)
