(119,160,216)
(0,0,0)
(140,90,218)
(447,0,0)
(112,142,168)
(475,91,0)
(119,72,192)
(0,161,0)
(203,47,213)
(272,186,0)
(62,144,213)
(119,0,0)
(66,89,216)
(119,144,0)
(77,84,215)
(370,0,0)
(90,95,115)
(385,91,0)
(73,64,214)
(181,0,0)
(86,48,214)
(185,185,0)
(116,98,92)
(254,0,0)
(104,45,220)
(185,140,0)
(59,75,168)
(181,64,0)
(96,77,119)
(289,109,0)
(40,33,100)
(240,107,0)
(116,54,101)
(254,0,92)
(116,44,102)
(254,54,92)
(90,70,104)
(385,116,115)
(64,23,39)
(411,91,115)
(89,76,80)
(293,109,119)
(64,23,39)
(411,91,154)
(82,120,50)
(498,113,168)
(22,114,39)
(476,119,168)
(99,20,32)
(481,91,168)
(57,66,39)
(181,64,168)
(80,61,28)
(0,169,192)
(84,43,26)
(284,0,193)
(84,43,26)
(286,54,194)
