(345,231,75)
(0,0,0)
(156,65,216)
(431,0,0)
(188,55,213)
(399,178,0)
(62,110,170)
(525,68,0)
(120,110,66)
(405,68,0)
(85,68,199)
(346,0,0)
(53,165,88)
(346,68,0)
(52,109,152)
(471,69,66)
(31,85,150)
(440,93,66)
(52,25,38)
(419,68,66)
(31,85,100)
(409,93,66)
(324,50,142)
(0,0,75)
(95,104,140)
(0,127,75)
(142,73,141)
(0,50,75)
(57,104,145)
(95,127,75)
(99,70,143)
(152,161,75)
(93,68,141)
(142,50,75)
(103,42,145)
(152,119,75)
(89,117,112)
(256,114,75)
(99,58,70)
(235,50,75)
(41,69,132)
(358,164,88)
(52,79,108)
(347,68,88)
(59,46,68)
(235,50,145)
(39,42,64)
(295,50,145)
(25,85,43)
(415,93,166)
(57,104,20)
(528,71,170)
(48,86,31)
(297,145,187)
(39,94,30)
(256,137,187)
(52,79,27)
(533,96,190)
