(148,87,213)
(0,0,0)
(196,120,217)
(391,0,0)
(260,94,216)
(0,139,0)
(252,111,136)
(335,122,0)
(99,52,182)
(0,87,0)
(88,88,216)
(148,0,0)
(114,48,174)
(99,88,0)
(149,74,190)
(242,0,0)
(70,107,138)
(265,126,0)
(114,48,174)
(277,74,0)
(62,38,148)
(213,88,0)
(120,98,82)
(466,135,136)
(72,111,74)
(394,122,136)
(46,107,70)
(348,126,136)
(70,107,46)
(265,126,138)
(59,34,57)
(213,88,148)
(85,46,46)
(99,88,174)
(85,46,46)
(306,74,174)
(85,46,23)
(0,87,182)
(55,106,30)
(280,127,184)
(106,55,30)
(285,0,190)
