0.0422
75 7501
587 233 220
15
1 59 1  81 1  60 1 8
2 105 0  33 1  64 1 10
3 30 1  58 1  35 1 12
4 30 1  27 1  73 0 7
5 37 1  75 0  64 1 10
6 89 0  43 1  30 1 7
7 84 0  43 1  34 1 9
8 112 1  57 1  63 1 12
9 49 1  50 1  27 1 9
10 76 1  89 1  67 1 9
11 118 0  29 1  74 0 14
12 92 1  47 1  73 1 10
13 72 0  57 0  23 1 9
14 53 1  54 1  37 1 12
15 94 0  26 1  77 0 12
(134,178,152) ; (0,0,0)
(148,118,220) ; (439,0,0)
(228,112,189) ; (359,121,0)
(148,54,187) ; (0,179,0)
(188,92,219) ; (134,0,0)
(210,64,132) ; (148,169,0)
(81,120,207) ; (358,0,0)
(188,77,220) ; (134,92,0)
(34,168,172) ; (324,0,0)
(150,64,74) ; (148,169,132)
(59,60,81) ; (299,173,132)
(105,66,64) ; (0,0,152)
(89,76,67) ; (0,102,152)
(90,35,58) ; (0,66,152)
(27,73,60) ; (105,0,152)
(37,75,64) ; (89,103,152)
(35,30,58) ; (90,73,152)
(34,84,43) ; (324,0,172)
(30,73,27) ; (328,95,172)
(147,50,27) ; (0,179,187)
(118,74,29) ; (469,159,189)
(174,35,30) ; (413,124,189)
(105,58,30) ; (364,175,189)
(49,50,27) ; (364,125,189)
