(148,180,214)
(0,0,0)
(80,230,215)
(507,0,0)
(128,53,118)
(0,180,0)
(272,78,218)
(235,0,0)
(183,154,131)
(324,79,0)
(189,48,158)
(128,185,0)
(86,59,219)
(148,0,0)
(115,80,215)
(148,105,0)
(75,45,213)
(148,59,0)
(69,27,180)
(223,78,0)
(61,77,131)
(263,108,0)
(112,47,77)
(0,186,118)
(176,109,60)
(326,124,131)
(100,44,77)
(402,79,131)
(75,45,44)
(327,79,131)
(59,73,86)
(263,111,131)
(136,47,56)
(128,186,158)
(53,32,59)
(264,201,158)
(69,27,45)
(333,79,175)
(138,90,27)
(364,143,191)
(75,45,22)
(0,188,195)
