0.6138	0.3074	0.1887	1
0.9652	0.4829	0.4661	1
0.7896	0.3972	0.3136	1
0.5929	0.2989	0.1772	1
0.9239	0.463	0.4278	1
0.8211	0.413	0.3391	1
0.8532	0.4286	0.3657	1
0.6592	0.3306	0.2179	1
0.9233	0.4667	0.4309	1
0.7768	0.3889	0.3021	1
0.7655	0.3857	0.2953	1
0.9358	0.471	0.4408	1
0.9799	0.4907	0.4808	1
0.7095	0.3552	0.252	1
0.9198	0.462	0.4249	1
0.836	0.4185	0.3499	1
0.9233	0.463	0.4275	1
0.9467	0.4743	0.449	1
0.9612	0.4813	0.4626	1
0.9502	0.4754	0.4517	1
0.9627	0.5808	0.5587	4
0.9704	0.7442	0.7218	5
0.9499	0.6924	0.6577	9
0.9698	0.6524	0.6326	3
0.9609	0.4924	0.4729	10
0.8077	0.5146	0.414	28
0.9684	0.6902	0.6679	8
0.9837	0.6917	0.6699	14
0.9471	0.6795	0.6426	11
0.9593	0.6991	0.6698	11
0.9427	0.6479	0.6084	9
0.944	0.5868	0.5423	39
0.9764	0.7853	0.7667	4
0.8935	0.9538	0.8462	20
0.9764	0.5416	0.5284	13
0.9776	0.9102	0.8851	11
0.9813	0.8456	0.8289	16
0.952	0.747	0.7109	3
0.9793	0.552	0.5406	3
0.9679	0.856	0.8174	17
0.9673	0.7015	0.6754	16
0.973	0.7668	0.7438	12
0.9685	0.6764	0.6551	3
0.9786	0.5783	0.5656	21
0.9632	0.7544	0.7246	18
0.9786	0.759	0.7418	5
0.9793	0.8356	0.8154	16
0.9796	0.8897	0.8692	12
0.975	0.6885	0.6677	9
0.978	0.594	0.5797	18
0.9658	0.6847	0.6557	19
0.9674	0.7984	0.7683	12
0.9717	0.6749	0.6556	12
0.9661	0.7348	0.7084	11
0.9795	0.6206	0.6067	14
0.972	0.5997	0.5826	8
0.9824	0.7448	0.7292	25
0.9641	0.8519	0.8153	19
0.9717	0.815	0.7871	19
0.9667	0.6642	0.6415	6
0.9724	0.7936	0.7628	24
0.979	0.863	0.8392	16
0.9819	0.6253	0.6098	26
0.9734	0.7293	0.7085	13
0.9748	0.6441	0.6261	15
0.9771	0.5292	0.5156	12
0.9827	0.7629	0.7486	16
0.9812	0.803	0.7826	16
0.9779	0.6197	0.6044	23
0.9748	0.7055	0.6874	11
0.9778	0.7077	0.6898	18
0.9715	0.7306	0.7093	8
0.9848	0.6395	0.626	20
0.972	0.6503	0.6309	9
0.9799	0.6722	0.6534	18
0.9798	0.6468	0.6318	18
0.9765	0.6686	0.6518	15
0.9683	0.7277	0.7012	12
0.9802	0.6826	0.6664	16
0.9805	0.7036	0.6865	17

0.9815	0.8189	0.7992	22
0.9796	0.6328	0.619	5
0.9809	0.5948	0.5814	17
0.9736	0.8756	0.8497	18
0.9781	0.6763	0.6582	19
0.9845	0.6916	0.6779	13
0.9745	0.5771	0.561	14
0.9759	0.5735	0.5596	11
0.9752	0.7316	0.7118	23
0.9792	0.7015	0.6794	19
0.983	0.6947	0.6792	17
0.9835	0.7557	0.7423	14
0.9731	0.8001	0.772	12
0.9856	0.7253	0.7078	19
0.9837	0.7115	0.699	17
0.9752	0.6966	0.6768	16
0.9639	0.6371	0.6137	9
0.9811	0.687	0.6719	21
0.973	0.8074	0.7841	8
0.9835	0.7468	0.7312	23
0.9687	0.7691	0.741	11
0.9765	0.6737	0.6561	22
0.981	0.7026	0.6883	18
0.9789	0.7071	0.6881	14
0.9764	0.6549	0.638	21
0.9813	0.6657	0.6496	15
0.9706	0.7815	0.7562	13
0.9788	0.6405	0.6255	17
