0.0432
45 4501
587 233 220
12
1 77 0  28 1  50 1 15
2 84 1  61 1  44 1 19
3 62 0  52 1  30 1 9
4 112 0  28 1  76 0 10
5 37 1  37 1  33 1 26
6 68 1  82 1  63 1 15
7 82 0  40 1  31 1 11
8 62 0  48 1  29 1 12
9 75 0  26 1  50 1 15
10 101 1  99 1  52 1 17
11 36 1  46 1  32 1 10
12 44 1  81 0  25 1 16
(81,232,100) ; (0,0,0)
(505,99,156) ; (82,0,0)
(183,84,220) ; (404,149,0)
(204,82,220) ; (81,151,0)
(308,50,134) ; (279,99,0)
(198,52,131) ; (81,99,0)
(84,44,214) ; (320,189,0)
(37,37,202) ; (367,152,0)
(82,40,155) ; (285,149,0)
(33,37,194) ; (287,196,0)
(76,224,117) ; (0,0,100)
(186,52,60) ; (81,99,131)
(231,50,54) ; (348,99,134)
(61,44,84) ; (287,105,134)
(46,36,64) ; (321,153,155)
(36,32,46) ; (285,157,155)
(492,68,63) ; (95,0,156)
(496,29,48) ; (91,68,156)
(216,46,32) ; (357,103,188)
(186,48,29) ; (81,103,191)
