0.0436
88 8801
587 233 220
12
1 73 1  39 1  41 1 25
2 79 0  59 0  29 1 17
3 107 1  74 1  54 1 11
4 44 1  42 1  69 1 18
5 111 0  79 0  28 1 14
6 55 1  57 1  41 1 13
7 117 0  25 1  33 1 9
8 80 0  42 0  20 1 14
9 59 1  47 1  69 1 18
10 101 0  70 0  33 1 11
11 74 0  67 0  27 1 15
12 46 1  80 1  56 1 14
(202,70,165) ; (0,0,0)
(222,162,219) ; (0,71,0)
(235,69,219) ; (352,0,0)
(158,82,219) ; (429,151,0)
(224,80,130) ; (363,69,0)
(123,82,165) ; (306,151,0)
(148,67,189) ; (202,0,0)
(84,69,220) ; (222,164,0)
(74,54,214) ; (222,67,0)
(80,42,219) ; (222,122,0)
(59,79,145) ; (304,69,0)
(177,79,87) ; (408,69,130)
(42,69,88) ; (366,69,130)
(59,79,29) ; (304,69,145)
(101,70,33) ; (0,0,165)
(59,69,47) ; (101,0,165)
(42,69,44) ; (160,0,165)
(114,82,55) ; (309,151,165)
(59,79,29) ; (304,69,174)
(117,66,25) ; (202,0,189)
(80,42,20) ; (0,0,198)
