0.0376
31 3101
587 233 220
3
1 110 0  53 1  28 1 61
2 48 1  54 1  52 1 78
3 119 0  36 1  33 1 68
(0,0,0) ; (53,110,28)
(53,0,0) ; (106,110,28)
(106,0,0) ; (159,110,28)
(159,0,0) ; (212,110,28)
(212,0,0) ; (265,110,28)
(265,0,0) ; (318,110,28)
(318,0,0) ; (371,110,28)
(371,0,0) ; (424,110,28)
(424,0,0) ; (477,110,28)
(0,110,0) ; (119,146,33)
(119,110,0) ; (238,146,33)
(238,110,0) ; (357,146,33)
(357,110,0) ; (476,146,33)
(0,0,28) ; (53,110,56)
(53,0,28) ; (106,110,56)
(106,0,28) ; (159,110,56)
(159,0,28) ; (212,110,56)
(212,0,28) ; (265,110,56)
(265,0,28) ; (318,110,56)
(318,0,28) ; (371,110,56)
(371,0,28) ; (424,110,56)
(424,0,28) ; (477,110,56)
(0,110,33) ; (119,146,66)
(119,110,33) ; (238,146,66)
(238,110,33) ; (357,146,66)
(357,110,33) ; (476,146,66)
(0,0,56) ; (53,110,84)
(53,0,56) ; (106,110,84)
(106,0,56) ; (159,110,84)
(159,0,56) ; (212,110,84)
(212,0,56) ; (265,110,84)
(265,0,56) ; (318,110,84)
(318,0,56) ; (371,110,84)
(371,0,56) ; (424,110,84)
(424,0,56) ; (477,110,84)
(0,110,66) ; (119,146,99)
(119,110,66) ; (238,146,99)
(238,110,66) ; (357,146,99)
(357,110,66) ; (476,146,99)
(0,0,84) ; (53,110,112)
(53,0,84) ; (106,110,112)
(106,0,84) ; (159,110,112)
(159,0,84) ; (212,110,112)
(212,0,84) ; (265,110,112)
(265,0,84) ; (318,110,112)
(318,0,84) ; (371,110,112)
(371,0,84) ; (424,110,112)
(424,0,84) ; (477,110,112)
(0,110,99) ; (119,146,132)
(119,110,99) ; (238,146,132)
(238,110,99) ; (357,146,132)
(357,110,99) ; (476,146,132)
(0,0,112) ; (28,110,165)
(28,0,112) ; (56,110,165)
(56,0,112) ; (84,110,165)
(84,0,112) ; (112,110,165)
(112,0,112) ; (140,110,165)
(140,0,112) ; (168,110,165)
(168,0,112) ; (196,110,165)
(196,0,112) ; (224,110,165)
(224,0,112) ; (252,110,165)
(252,0,112) ; (280,110,165)
(280,0,112) ; (308,110,165)
(308,0,112) ; (336,110,165)
(336,0,112) ; (364,110,165)
(364,0,112) ; (392,110,165)
(392,0,112) ; (420,110,165)
(420,0,112) ; (448,110,165)
(448,0,112) ; (476,110,165)
(0,110,132) ; (119,146,165)
(119,110,132) ; (238,146,165)
(238,110,132) ; (357,146,165)
(357,110,132) ; (476,146,165)
(0,0,165) ; (52,48,219)
(52,0,165) ; (104,48,219)
(104,0,165) ; (156,48,219)
(156,0,165) ; (208,48,219)
(208,0,165) ; (260,48,219)
(260,0,165) ; (312,48,219)
(312,0,165) ; (364,48,219)
(364,0,165) ; (416,48,219)
(416,0,165) ; (468,48,219)
(0,48,165) ; (52,96,219)
(52,48,165) ; (104,96,219)
(104,48,165) ; (156,96,219)
(156,48,165) ; (208,96,219)
(208,48,165) ; (260,96,219)
(260,48,165) ; (312,96,219)
(312,48,165) ; (364,96,219)
(364,48,165) ; (416,96,219)
(416,48,165) ; (468,96,219)
(0,96,165) ; (52,144,219)
(52,96,165) ; (104,144,219)
(104,96,165) ; (156,144,219)
(156,96,165) ; (208,144,219)
(208,96,165) ; (260,144,219)
(260,96,165) ; (312,144,219)
(312,96,165) ; (364,144,219)
(364,96,165) ; (416,144,219)
(416,96,165) ; (468,144,219)
(0,148,0) ; (48,200,54)
(48,148,0) ; (96,200,54)
(96,148,0) ; (144,200,54)
(144,148,0) ; (192,200,54)
(192,148,0) ; (240,200,54)
(240,148,0) ; (288,200,54)
(288,148,0) ; (336,200,54)
(336,148,0) ; (384,200,54)
(384,148,0) ; (432,200,54)
(432,148,0) ; (480,200,54)
(0,200,0) ; (119,233,36)
(119,200,0) ; (238,233,36)
(238,200,0) ; (357,233,36)
(357,200,0) ; (476,233,36)
(0,200,36) ; (119,233,72)
(119,200,36) ; (238,233,72)
(238,200,36) ; (357,233,72)
(357,200,36) ; (476,233,72)
(0,148,54) ; (48,200,108)
(48,148,54) ; (96,200,108)
(96,148,54) ; (144,200,108)
(144,148,54) ; (192,200,108)
(192,148,54) ; (240,200,108)
(240,148,54) ; (288,200,108)
(288,148,54) ; (336,200,108)
(336,148,54) ; (384,200,108)
(384,148,54) ; (432,200,108)
(432,148,54) ; (480,200,108)
(0,200,72) ; (119,233,108)
(119,200,72) ; (238,233,108)
(238,200,72) ; (357,233,108)
(357,200,72) ; (476,233,108)
(0,148,108) ; (48,200,162)
(48,148,108) ; (96,200,162)
(96,148,108) ; (144,200,162)
(144,148,108) ; (192,200,162)
(192,148,108) ; (240,200,162)
(240,148,108) ; (288,200,162)
(288,148,108) ; (336,200,162)
(336,148,108) ; (384,200,162)
(384,148,108) ; (432,200,162)
(432,148,108) ; (480,200,162)
(0,200,108) ; (119,233,144)
(119,200,108) ; (238,233,144)
(238,200,108) ; (357,233,144)
(357,200,108) ; (476,233,144)
(0,200,144) ; (119,233,180)
(119,200,144) ; (238,233,180)
(238,200,144) ; (357,233,180)
(357,200,144) ; (476,233,180)
(0,148,162) ; (48,200,216)
(48,148,162) ; (96,200,216)
(96,148,162) ; (144,200,216)
(144,148,162) ; (192,200,216)
(192,148,162) ; (240,200,216)
(240,148,162) ; (288,200,216)
(288,148,162) ; (336,200,216)
(336,148,162) ; (384,200,216)
(384,148,162) ; (432,200,216)
(432,148,162) ; (480,200,216)
(0,200,180) ; (119,233,216)
(119,200,180) ; (238,233,216)
(238,200,180) ; (357,233,216)
(357,200,180) ; (476,233,216)
(515,0,0) ; (551,119,33)
(551,0,0) ; (587,119,33)
(515,0,33) ; (551,119,66)
(551,0,33) ; (587,119,66)
(515,0,66) ; (551,119,99)
(551,0,66) ; (587,119,99)
(515,0,99) ; (551,119,132)
(551,0,99) ; (587,119,132)
(515,0,132) ; (548,119,168)
(548,0,132) ; (581,119,168)
(534,123,0) ; (587,233,28)
(534,123,28) ; (587,233,56)
(534,123,56) ; (587,233,84)
(534,123,84) ; (587,233,112)
(534,123,112) ; (587,233,140)
(534,123,140) ; (587,233,168)
(534,123,168) ; (586,177,216)
(534,177,168) ; (586,231,216)
(481,123,0) ; (534,233,28)
(479,0,0) ; (515,119,33)
(479,0,33) ; (515,119,66)
(479,0,66) ; (515,119,99)
(479,0,99) ; (515,119,132)
(479,0,132) ; (515,119,165)
(482,125,28) ; (534,179,76)
(482,179,28) ; (534,233,76)
(482,125,76) ; (534,179,124)
(482,179,76) ; (534,233,124)
(482,125,124) ; (534,179,172)
(482,179,124) ; (534,233,172)
(482,125,172) ; (534,179,220)
(482,179,172) ; (534,233,220)
(487,0,165) ; (515,110,218)
(515,0,168) ; (548,119,204)
(548,0,168) ; (581,119,204)
