(277,100,160)
(0,0,0)
(82,128,172)
(0,105,0)
(300,74,95)
(287,0,0)
(83,83,213)
(504,150,0)
(72,76,214)
(515,74,0)
(183,78,174)
(82,155,0)
(67,56,214)
(437,177,0)
(58,100,164)
(446,77,0)
(116,57,147)
(321,176,0)
(129,55,108)
(82,100,0)
(119,60,134)
(327,116,0)
(90,41,146)
(356,74,0)
(54,72,126)
(265,161,0)
(93,55,78)
(211,100,0)
(44,35,60)
(312,74,0)
(86,54,77)
(211,101,78)
(165,73,87)
(419,0,95)
(92,73,61)
(327,0,95)
(25,64,42)
(302,0,95)
(118,54,58)
(82,101,108)
(50,70,93)
(265,162,126)
(119,53,22)
(327,116,134)
(25,64,42)
(302,0,137)
(90,40,62)
(356,74,146)
(59,51,73)
(374,182,147)
(45,56,65)
(329,177,147)
(81,49,65)
(211,106,155)
(78,73,62)
(341,0,156)
(74,52,33)
(372,117,156)
(43,52,51)
(329,117,156)
(77,95,60)
(0,0,160)
(108,62,60)
(77,0,160)
(95,34,59)
(77,62,160)
(34,95,59)
(185,0,160)
(57,84,52)
(219,0,160)
(39,93,55)
(463,83,164)
(118,46,52)
(82,109,166)
(48,85,47)
(0,147,172)
(32,60,45)
(48,172,172)
(63,38,47)
(0,109,172)
(30,24,34)
(48,148,172)
(81,72,46)
(82,157,174)
(76,74,45)
(163,155,174)
(25,64,42)
(239,165,174)
(106,58,37)
(475,0,182)
(47,63,38)
(428,0,182)
(60,51,24)
(386,118,189)
