0.0829
90 9001
587 233 220
70
1 34 1  65 0  26 1 2
2 100 0  91 0  33 1 4
3 87 0  27 1  45 1 3
4 53 1  48 1  45 1 2
5 45 1  77 0  36 1 3
6 89 0  41 1  56 1 1
7 112 0  55 1  35 1 1
8 53 1  46 1  59 1 1
9 65 0  35 1  20 1 1
10 114 0  98 0  44 1 3
11 119 0  48 1  70 1 2
12 103 1  80 1  73 1 1
13 55 1  80 1  60 1 1
14 37 1  100 0  58 1 1
15 112 0  35 1  29 1 2
16 105 1  66 1  57 1 3
17 56 1  71 0  29 1 2
18 57 0  81 0  28 1 1
19 61 1  91 0  43 1 1
20 39 1  32 1  35 1 2
21 47 1  26 1  77 0 2
22 98 1  81 1  76 1 3
23 92 1  72 1  47 1 1
24 66 0  25 1  28 1 1
25 82 0  73 0  30 1 3
26 33 1  67 0  60 1 1
27 76 1  60 1  69 1 4
28 95 1  75 1  61 1 3
29 70 0  27 1  20 1 2
30 77 0  97 0  37 1 2
31 66 1  88 1  54 1 1
32 96 0  73 0  20 1 2
33 72 0  26 1  69 0 3
34 33 1  74 0  48 1 2
35 111 0  55 1  41 1 1
36 48 1  37 1  69 1 2
37 50 1  69 1  46 1 2
38 52 1  29 1  48 1 4
39 42 1  74 1  55 1 1
40 70 1  78 1  69 1 2
41 77 1  55 1  54 1 2
42 78 1  43 1  63 1 1
43 91 0  99 0  23 1 3
44 68 1  82 1  42 1 1
45 107 0  51 1  33 1 4
46 54 1  49 1  70 1 3
47 57 1  100 1  70 1 2
48 32 1  38 1  40 1 2
49 62 1  88 1  53 1 1
50 48 1  28 1  69 0 1
51 38 1  76 0  44 1 3
52 65 1  39 1  37 1 1
53 106 0  65 1  44 1 1
54 96 0  49 1  31 1 1
55 71 1  67 1  69 1 4
56 83 0  32 1  46 1 2
57 62 1  61 1  67 1 2
58 90 1  53 1  58 1 1
59 104 1  75 1  61 1 1
60 108 0  37 1  78 0 2
61 58 0  26 1  65 0 1
62 43 1  90 0  59 1 1
63 77 1  81 1  62 1 2
64 91 1  62 1  60 1 2
65 70 0  36 1  24 1 4
66 112 0  95 0  39 1 2
67 109 0  38 1  29 1 2
68 116 0  78 0  24 1 1
69 83 1  83 1  54 1 1
70 59 0  72 0  29 1 1
(0,0,0) ; (76,98,81)
(0,0,81) ; (76,98,162)
(0,0,162) ; (36,70,186)
(36,0,162) ; (72,70,186)
(0,70,162) ; (69,98,210)
(0,0,186) ; (36,70,210)
(36,0,186) ; (72,70,210)
(375,0,0) ; (453,70,69)
(453,0,0) ; (520,71,69)
(520,0,0) ; (587,71,69)
(375,0,69) ; (453,70,138)
(453,0,69) ; (520,71,138)
(520,0,69) ; (587,71,138)
(375,0,138) ; (421,69,188)
(421,0,138) ; (467,69,188)
(467,0,138) ; (527,69,214)
(527,0,138) ; (587,69,214)
(375,0,188) ; (409,65,214)
(409,0,188) ; (467,65,214)
(487,72,0) ; (587,163,33)
(487,163,0) ; (587,233,57)
(487,72,33) ; (587,163,66)
(487,163,57) ; (587,233,114)
(487,72,66) ; (587,163,99)
(487,72,99) ; (586,163,122)
(487,163,114) ; (536,233,168)
(536,163,114) ; (585,233,168)
(487,72,122) ; (586,163,145)
(487,72,145) ; (586,163,168)
(0,101,0) ; (107,134,51)
(0,134,0) ; (107,167,51)
(0,167,0) ; (107,200,51)
(0,200,0) ; (107,233,51)
(0,101,51) ; (105,167,108)
(0,167,51) ; (105,233,108)
(0,101,108) ; (69,138,156)
(0,138,108) ; (69,175,156)
(69,101,108) ; (102,175,156)
(0,175,108) ; (52,204,156)
(52,175,108) ; (104,204,156)
(0,204,108) ; (52,233,156)
(52,204,108) ; (104,233,156)
(76,0,0) ; (190,98,44)
(76,0,44) ; (190,98,88)
(76,0,88) ; (190,98,132)
(76,0,132) ; (188,95,171)
(76,0,171) ; (188,95,210)
(265,156,0) ; (363,232,81)
(363,156,0) ; (425,233,81)
(425,156,0) ; (487,233,81)
(265,156,81) ; (347,229,111)
(347,156,81) ; (416,232,141)
(416,156,81) ; (485,232,141)
(265,156,111) ; (347,229,141)
(107,158,0) ; (202,233,61)
(107,158,61) ; (202,233,122)
(107,158,122) ; (202,233,183)
(414,71,0) ; (487,153,30)
(414,71,30) ; (487,151,133)
(107,98,0) ; (198,158,62)
(107,98,62) ; (198,158,124)
(107,98,124) ; (197,157,167)
(107,98,167) ; (197,156,220)
(190,0,0) ; (267,97,37)
(190,0,37) ; (267,97,74)
(190,0,74) ; (264,42,129)
(190,42,74) ; (267,96,129)
(190,0,129) ; (263,96,149)
