0.0458
26 2601
587 233 220
10
1 35 1  52 1  51 1 17
2 81 1  73 1  79 1 9
3 114 0  66 0  22 1 17
4 116 0  54 1  42 1 13
5 52 1  95 1  60 1 12
6 103 0  72 1  39 1 8
7 86 0  38 1  66 1 16
8 51 1  63 1  78 1 19
9 49 1  90 0  35 1 11
10 91 0  69 0  34 1 10
(162,130,219) ; (0,0,0)
(208,95,214) ; (379,0,0)
(156,103,198) ; (0,130,0)
(344,66,218) ; (243,167,0)
(206,72,130) ; (381,95,0)
(81,79,219) ; (156,154,0)
(91,69,204) ; (162,0,0)
(126,116,216) ; (253,0,0)
(90,49,210) ; (162,69,0)
(90,35,196) ; (162,119,0)
(126,51,156) ; (255,116,0)
(114,66,88) ; (471,99,130)
(52,70,51) ; (419,95,130)
(35,52,51) ; (384,113,130)
(78,51,63) ; (303,116,156)
(35,51,52) ; (255,116,156)
(52,51,35) ; (419,114,181)
(114,66,22) ; (0,166,198)
