0.0315
85 8501
587 233 220
10
1 89 0  70 0  34 1 13
2 64 1  54 1  34 1 18
3 105 0  31 1  37 1 17
4 104 0  44 1  45 1 20
5 89 1  80 1  76 1 17
6 49 1  62 1  72 1 16
7 82 0  30 1  50 1 18
8 84 0  26 1  43 1 19
9 46 1  42 1  51 1 15
10 99 0  32 1  20 1 11
(245,62,216) ; (0,0,0)
(560,89,186) ; (0,144,0)
(208,90,220) ; (379,0,0)
(26,84,215) ; (561,149,0)
(270,82,176) ; (0,62,0)
(204,54,128) ; (383,90,0)
(62,105,217) ; (317,0,0)
(72,62,49) ; (245,0,0)
(105,37,217) ; (278,107,0)
(46,42,153) ; (270,62,0)
(64,54,170) ; (245,0,49)
(168,51,92) ; (419,93,128)
(34,54,64) ; (385,90,128)
(46,42,51) ; (270,62,153)
(252,78,43) ; (0,62,176)
(140,89,34) ; (0,144,186)
(210,89,34) ; (350,144,186)
(198,80,32) ; (140,153,186)
