0.0458
25 2501
587 233 220
10
1 37 1  43 1  34 1 12
2 31 1  98 0  27 1 16
3 49 0  83 0  22 1 19
4 116 0  32 1  66 0 17
5 91 0  100 0  32 1 18
6 82 1  45 1  69 1 15
7 102 1  77 1  54 1 16
8 91 0  50 1  42 1 11
9 37 1  87 0  24 1 14
10 42 1  68 1  70 1 16
(0,0,0) ; (66,116,32)
(66,0,0) ; (132,116,32)
(0,116,0) ; (66,232,32)
(66,116,0) ; (132,232,32)
(0,0,32) ; (66,116,64)
(66,0,32) ; (132,116,64)
(0,116,32) ; (66,232,64)
(66,116,32) ; (132,232,64)
(0,0,64) ; (66,116,96)
(66,0,64) ; (132,116,96)
(0,116,64) ; (66,232,96)
(66,116,64) ; (132,232,96)
(0,0,96) ; (66,116,128)
(66,0,96) ; (132,116,128)
(0,116,96) ; (66,232,128)
(66,116,96) ; (132,232,128)
(433,0,0) ; (510,102,54)
(510,0,0) ; (587,102,54)
(433,102,0) ; (510,204,54)
(510,102,0) ; (587,204,54)
(433,0,54) ; (510,102,108)
(510,0,54) ; (587,102,108)
(433,102,54) ; (510,204,108)
(510,102,54) ; (587,204,108)
(433,0,108) ; (510,102,162)
(510,0,108) ; (587,102,162)
(433,102,108) ; (510,204,162)
(510,102,108) ; (587,204,162)
(433,0,162) ; (510,102,216)
(510,0,162) ; (587,102,216)
(433,102,162) ; (510,204,216)
(510,102,162) ; (587,204,216)
(391,206,0) ; (489,233,31)
(489,206,0) ; (587,233,31)
(391,206,31) ; (489,233,62)
(489,206,31) ; (587,233,62)
(391,206,62) ; (489,233,93)
(489,206,62) ; (587,233,93)
(391,206,93) ; (489,233,124)
(489,206,93) ; (587,233,124)
(391,206,124) ; (489,233,155)
(489,206,124) ; (587,233,155)
(391,206,155) ; (489,233,186)
(489,206,155) ; (587,233,186)
(391,206,186) ; (489,233,217)
(489,206,186) ; (587,233,217)
(132,0,0) ; (232,91,32)
(232,0,0) ; (332,91,32)
(332,0,0) ; (432,91,32)
(132,0,32) ; (232,91,64)
(232,0,32) ; (332,91,64)
(332,0,32) ; (432,91,64)
(132,0,64) ; (232,91,96)
(232,0,64) ; (332,91,96)
(332,0,64) ; (432,91,96)
(132,0,96) ; (232,91,128)
(232,0,96) ; (332,91,128)
(332,0,96) ; (432,91,128)
(132,0,128) ; (232,91,160)
(232,0,128) ; (332,91,160)
(332,0,128) ; (432,91,160)
(132,0,160) ; (232,91,192)
(232,0,160) ; (332,91,192)
(332,0,160) ; (432,91,192)
(132,0,192) ; (169,87,216)
(169,0,192) ; (206,87,216)
(206,0,192) ; (243,87,216)
(243,0,192) ; (280,87,216)
(280,0,192) ; (317,87,216)
(317,0,192) ; (354,87,216)
(354,0,192) ; (391,87,216)
(391,0,192) ; (428,87,216)
(132,93,0) ; (174,163,68)
(174,93,0) ; (216,163,68)
(216,93,0) ; (258,163,68)
(258,93,0) ; (300,163,68)
(300,93,0) ; (342,163,68)
(132,163,0) ; (174,233,68)
(174,163,0) ; (216,233,68)
(216,163,0) ; (258,233,68)
(258,163,0) ; (300,233,68)
(300,163,0) ; (342,233,68)
(132,93,68) ; (200,163,110)
(200,93,68) ; (268,163,110)
(268,93,68) ; (336,163,110)
(132,163,68) ; (200,233,110)
(200,163,68) ; (268,233,110)
(268,163,68) ; (336,233,110)
(391,115,0) ; (433,206,50)
(391,115,50) ; (433,206,100)
(391,115,100) ; (433,206,150)
(391,115,150) ; (433,206,200)
(342,150,0) ; (391,233,22)
(342,150,22) ; (391,233,44)
(342,150,44) ; (391,233,66)
(342,150,66) ; (391,233,88)
(342,150,88) ; (391,233,110)
(342,150,110) ; (391,233,132)
(342,150,132) ; (391,233,154)
(342,150,154) ; (391,233,176)
(342,150,176) ; (391,233,198)
(342,150,198) ; (391,233,220)
(346,91,0) ; (433,115,37)
(346,91,37) ; (433,115,74)
(346,91,74) ; (433,115,111)
(346,91,111) ; (433,115,148)
(346,91,148) ; (433,115,185)
(348,116,0) ; (391,150,37)
(348,116,37) ; (391,150,74)
(348,116,74) ; (391,150,111)
(348,116,111) ; (391,150,148)
(348,116,148) ; (391,150,185)
(132,95,110) ; (177,164,192)
(177,95,110) ; (222,164,192)
(222,95,110) ; (267,164,192)
(132,164,110) ; (177,233,192)
(177,164,110) ; (222,233,192)
(222,164,110) ; (267,233,192)
(267,95,110) ; (336,140,192)
(267,140,110) ; (336,185,192)
(267,185,110) ; (336,230,192)
(0,0,128) ; (82,69,173)
(0,69,128) ; (82,138,173)
(0,0,173) ; (82,69,218)
(0,69,173) ; (82,138,218)
(0,141,128) ; (42,232,178)
(42,141,128) ; (84,232,178)
(82,0,128) ; (132,91,170)
(82,0,170) ; (132,91,212)
(84,94,128) ; (129,163,210)
(84,163,128) ; (129,232,210)
(0,141,178) ; (50,232,220)
(50,146,178) ; (84,189,215)
(50,189,178) ; (84,232,215)
(132,132,192) ; (215,181,214)
(215,132,192) ; (298,181,214)
(132,181,192) ; (215,230,214)
(215,181,192) ; (298,230,214)
(132,95,192) ; (230,126,219)
(230,95,192) ; (328,126,219)
(299,143,192) ; (336,230,216)
