(98,133,183)
(0,0,0)
(70,231,123)
(517,0,0)
(114,100,179)
(0,133,0)
(188,78,131)
(329,0,0)
(89,153,128)
(428,80,0)
(226,60,99)
(98,0,0)
(235,52,147)
(114,181,0)
(115,71,89)
(98,60,0)
(78,61,135)
(350,172,0)
(98,50,97)
(114,131,0)
(120,93,114)
(308,79,0)
(94,48,56)
(212,133,0)
(95,72,38)
(213,60,0)
(73,72,35)
(213,60,38)
(82,48,55)
(212,133,56)
(73,72,35)
(213,60,73)
(80,62,130)
(98,60,89)
(25,69,42)
(178,60,89)
(94,48,55)
(114,133,97)
(182,57,67)
(98,0,99)
(44,58,72)
(280,0,99)
(73,72,35)
(213,60,108)
(79,32,57)
(212,149,111)
(113,84,51)
(315,87,114)
(51,215,96)
(534,0,123)
(77,35,92)
(438,197,128)
(64,110,92)
(451,87,128)
(20,105,31)
(431,92,128)
(85,73,87)
(432,0,131)
(100,47,84)
(332,0,131)
(101,29,49)
(331,47,131)
(75,49,85)
(351,183,135)
(72,64,34)
(213,60,143)
(106,42,72)
(114,190,147)
(112,51,49)
(220,181,147)
(79,47,67)
(114,134,152)
(20,61,31)
(431,136,159)
(113,76,46)
(315,95,165)
(175,43,50)
(98,0,166)
(49,30,43)
(212,151,168)
(69,54,20)
(213,60,177)
(55,91,40)
(0,135,179)
(29,67,41)
(55,159,179)
(27,85,26)
(84,141,179)
(96,28,40)
(336,47,180)
(89,97,37)
(0,0,183)
(77,35,36)
(0,97,183)
(112,43,24)
(220,189,196)
