(192,71,192)
(0,0,0)
(80,109,215)
(0,124,0)
(107,78,212)
(480,0,0)
(63,151,117)
(524,82,0)
(77,152,114)
(447,81,0)
(118,51,192)
(0,71,0)
(112,48,219)
(80,185,0)
(89,79,202)
(391,0,0)
(63,61,199)
(80,124,0)
(68,153,66)
(379,80,0)
(102,48,178)
(118,71,0)
(89,65,120)
(143,120,0)
(90,70,192)
(192,0,0)
(106,48,142)
(192,185,0)
(90,78,111)
(301,0,0)
(80,143,67)
(299,90,0)
(65,115,69)
(232,70,0)
(62,152,44)
(384,81,66)
(74,108,33)
(300,125,67)
(72,32,60)
(302,90,67)
(57,115,44)
(232,70,69)
(70,68,118)
(304,165,100)
(70,36,61)
(304,129,100)
(59,105,39)
(384,128,110)
(51,47,45)
(392,81,110)
(86,71,93)
(305,0,111)
(56,104,29)
(232,81,113)
(72,61,104)
(449,172,114)
(62,91,55)
(459,81,114)
(58,120,79)
(529,113,117)
(44,31,100)
(543,82,117)
(35,59,99)
(143,126,120)
(48,54,85)
(178,131,120)
(71,32,62)
(303,90,127)
(91,47,68)
(192,185,142)
(53,101,22)
(232,84,142)
(37,105,69)
(406,128,149)
(21,68,33)
(385,165,149)
(43,47,33)
(400,81,155)
(67,31,51)
(307,134,161)
(51,96,43)
(232,89,164)
(57,82,50)
(464,90,169)
(82,48,30)
(118,71,178)
(21,68,33)
(385,165,182)
(72,41,28)
(0,0,192)
(81,43,20)
(0,71,192)
(111,65,28)
(72,0,192)
(80,68,22)
(192,0,192)
(54,103,23)
(533,130,196)
(44,41,20)
(80,143,199)
