(140,118,153)
(0,0,0)
(59,97,219)
(528,0,0)
(75,114,154)
(0,119,0)
(81,134,96)
(506,99,0)
(110,96,155)
(418,0,0)
(181,114,67)
(75,119,0)
(87,137,120)
(419,96,0)
(96,116,126)
(140,0,0)
(159,61,71)
(260,172,0)
(71,166,89)
(347,0,0)
(108,71,83)
(236,0,0)
(82,100,78)
(265,72,0)
(27,47,90)
(236,71,0)
(82,111,62)
(75,120,67)
(76,112,51)
(157,119,67)
(23,39,30)
(233,192,67)
(157,59,53)
(262,173,71)
(78,78,39)
(269,94,78)
(101,71,44)
(236,0,83)
(68,120,50)
(348,0,89)
(57,44,127)
(359,121,89)
(78,96,99)
(506,137,96)
(73,38,64)
(511,99,96)
(75,78,83)
(272,94,117)
(72,80,102)
(157,151,118)
(51,31,60)
(157,120,118)
(78,132,54)
(425,101,120)
(151,51,59)
(268,180,124)
(52,103,94)
(140,0,126)
(40,101,75)
(192,0,126)
(77,68,48)
(236,0,127)
(24,58,33)
(313,0,127)
(78,75,90)
(75,156,129)
(75,34,41)
(75,122,129)
(68,120,50)
(348,0,139)
(128,80,65)
(0,0,153)
(56,34,65)
(0,80,153)
(81,33,52)
(56,80,153)
(40,67,66)
(0,165,154)
(33,68,61)
(40,164,154)
(40,44,44)
(0,121,154)
(30,40,46)
(40,124,154)
(105,81,63)
(419,0,155)
(68,37,58)
(516,100,160)
(63,26,46)
(75,130,170)
(69,118,45)
(430,115,174)
(75,56,44)
(236,0,175)
(46,30,35)
(157,121,178)
(113,47,28)
(306,183,183)
(54,95,30)
(362,0,189)
(60,88,20)
(522,142,195)
(60,44,20)
(287,128,200)
